Target indicator,Predictor path,Number of validation windows,Selected model name,Refit Full
SC11,AutogluonModels/ag_SC11,2,GreedyEnsemble,True
SC12,AutogluonModels/ag_SC12,2,GreedyEnsemble,True
SC13,AutogluonModels/ag_SC13,2,GreedyEnsemble,True
SC14,AutogluonModels/ag_SC14,2,GreedyEnsemble,True
SC21,AutogluonModels/ag_SC21,2,GreedyEnsemble,True
SC22,AutogluonModels/ag_SC22,2,GreedyEnsemble,True
SC23,AutogluonModels/ag_SC23,2,GreedyEnsemble,True
SC24,AutogluonModels/ag_SC24,2,GreedyEnsemble,True
SC31,AutogluonModels/ag_SC31,2,GreedyEnsemble,True
SC32,AutogluonModels/ag_SC32,2,GreedyEnsemble,True
SC33,AutogluonModels/ag_SC33,2,GreedyEnsemble,True
SC41,AutogluonModels/ag_SC41,2,GreedyEnsemble,True
SC42,AutogluonModels/ag_SC42,2,GreedyEnsemble,True
SC43,AutogluonModels/ag_SC43,2,GreedyEnsemble,True
SC44,AutogluonModels/ag_SC44,2,GreedyEnsemble,True
SC51,AutogluonModels/ag_SC51,2,GreedyEnsemble,True
SC53,AutogluonModels/ag_SC53,2,GreedyEnsemble,True
SC54,AutogluonModels/ag_SC54,2,GreedyEnsemble,True
SC61,AutogluonModels/ag_SC61,2,GreedyEnsemble,True
SC62,AutogluonModels/ag_SC62,2,GreedyEnsemble,True
SC63,AutogluonModels/ag_SC63,2,GreedyEnsemble,True
SC64,AutogluonModels/ag_SC64,2,GreedyEnsemble,True
SC71,AutogluonModels/ag_SC71,2,GreedyEnsemble,True
SC72,AutogluonModels/ag_SC72,2,GreedyEnsemble,True
SC73,AutogluonModels/ag_SC73,2,GreedyEnsemble,True
SC81,AutogluonModels/ag_SC81,2,GreedyEnsemble,True
SC82,AutogluonModels/ag_SC82,2,GreedyEnsemble,True
SC83,AutogluonModels/ag_SC83,2,GreedyEnsemble,True
