Year,Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,Base
2011,P29,0.8408,0.8584,0.8849,0.8528,0.8618,0.8441
2012,P29,0.8074,0.7838,0.8643,0.8319,0.8245,0.8701
2013,P29,0.8122,0.7964,0.8545,0.8219,0.8295,0.8668
2014,P55,0.7517,0.715,0.7835,0.7591,0.7623,0.7632
2015,P28,0.8919,0.8874,0.9338,0.9023,0.9004,0.871
2016,P59,0.7799,0.7962,0.8473,0.7923,0.813,0.7631
2017,P53,0.7457,0.7692,0.8187,0.7653,0.7805,0.7952
2018,P14,0.7755,0.8104,0.8808,0.7808,0.806,0.7896
2019,P53,0.7405,0.7091,0.7462,0.7365,0.7444,0.7132
2020,P14,0.6862,0.7243,0.8197,0.7385,0.7776,0.8099
2021,P31,0.8922,0.9351,0.9491,0.9161,0.9293,0.8971
2022,P18,0.8272,0.858,0.9067,0.8053,0.8312,0.8035
2023,P62,0.7415,0.7683,0.8516,0.7747,0.8019,0.7692
2024,P39,0.7676,0.7754,0.8452,0.7812,0.8005,0.7989
