Criterion,C01,C02,C03,C04,C05,C06,C07,C08
2011,0.128,0.1524,0.1533,0.1662,0.2051,0.195,0,0
2012,0.1675,0.1451,0.1212,0.1845,0.1761,0.2056,0,0
2013,0.1554,0.1423,0.1442,0.1756,0.1702,0.2124,0,0
2014,0.1792,0.1614,0.1321,0.1851,0.1687,0.1734,0,0
2015,0.1321,0.1293,0.1297,0.2074,0.1496,0.2519,0,0
2016,0.1564,0.1627,0.2112,0.1423,0.1633,0.1641,0,0
2017,0.1712,0.1602,0.1591,0.1678,0.1792,0.1626,0,0
2018,0.1418,0.1058,0.1114,0.114,0.1161,0.1354,0.1603,0.1153
2019,0.12,0.0933,0.1167,0.0968,0.1198,0.1302,0.1284,0.1949
2020,0.1123,0.0919,0.1189,0.0976,0.1181,0.176,0.1445,0.1407
2021,0.1394,0.0988,0.1145,0.0906,0.131,0.0944,0.1826,0.1487
2022,0.1417,0.0983,0.1149,0.096,0.1077,0.1403,0.176,0.1251
2023,0.1182,0.1109,0.1042,0.0912,0.114,0.1631,0.1816,0.117
2024,0.1258,0.0919,0.1189,0.0944,0.1232,0.1418,0.1665,0.1375
Mean,0.1421,0.1246,0.1322,0.1364,0.1459,0.1676,0.0814,0.0699
StdDev,0.0211,0.0286,0.0279,0.0432,0.031,0.0399,0.0856,0.0749
