Subcriteria,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Mean_Weight,StdDev
SC11,0.025108,0.027599,0.028387,0.025730,0.020958,0.033926,0.031992,0.033634,0.029070,0.029702,0.031880,0.030261,0.026942,0.032706,0.029135,0.003676
SC12,0.028419,0.041794,0.040580,0.060178,0.035558,0.043157,0.042470,0.032243,0.024463,0.021414,0.034292,0.031764,0.026546,0.025472,0.034882,0.010203
SC13,0.035606,0.042888,0.039930,0.043352,0.035360,0.034255,0.049568,0.028619,0.030029,0.022918,0.029969,0.033917,0.028481,0.030767,0.034690,0.007160
SC14,0.038859,0.055226,0.046504,0.049947,0.040236,0.045066,0.047129,0.047279,0.036409,0.038261,0.043258,0.045797,0.036263,0.036891,0.043366,0.005745
SC21,0.044385,0.050708,0.046891,0.057266,0.042196,0.052294,0.051403,0.026338,0.024984,0.028710,0.021719,0.029606,0.032132,0.030159,0.038485,0.012006
SC22,0.047888,0.042093,0.040901,0.053524,0.040404,0.051736,0.052690,0.029030,0.020530,0.021161,0.027479,0.019854,0.028659,0.023819,0.035698,0.012702
SC23,0.060150,0.052279,0.054508,0.050635,0.046696,0.058623,0.056086,0.021121,0.021328,0.016931,0.021707,0.019632,0.020965,0.016271,0.036924,0.018209
SC31,0.060876,0.042977,0.054005,0.050489,0.056227,0.052536,0.048177,0.036109,0.042462,0.041357,0.033505,0.036251,0.033269,0.046402,0.045332,0.008796
SC32,0.050646,0.035664,0.052268,0.049500,0.040312,0.081609,0.057219,0.034916,0.036646,0.038647,0.039197,0.031985,0.031545,0.035947,0.044007,0.013496
SC33,0.041794,0.042528,0.037926,0.032135,0.033165,0.077076,0.053718,0.040333,0.037563,0.038852,0.041776,0.046696,0.039341,0.036590,0.042821,0.011236
SC41,0.031599,0.036438,0.040714,0.039509,0.039892,0.027481,0.031340,0.020839,0.017201,0.018218,0.023443,0.022520,0.021283,0.020931,0.027958,0.008506
SC42,0.031448,0.033779,0.041460,0.038354,0.044493,0.028134,0.029534,0.026772,0.020571,0.019926,0.019553,0.018107,0.020074,0.021131,0.028095,0.008810
SC43,0.047440,0.049423,0.043353,0.042850,0.054479,0.034186,0.046643,0.031344,0.018668,0.021549,0.018218,0.020560,0.022286,0.023937,0.033924,0.013094
SC44,0.055745,0.064880,0.050045,0.064363,0.068557,0.052515,0.060274,0.035071,0.040395,0.037883,0.029403,0.034850,0.027535,0.028361,0.046420,0.014744
SC51,0.045226,0.046865,0.037914,0.042207,0.040018,0.039190,0.051668,0.027984,0.035384,0.029631,0.037461,0.035840,0.037082,0.036427,0.038778,0.006311
SC52,0.061120,0.047031,0.042407,0.040647,0.037858,0.046800,0.040474,0.031972,0.025332,0.028063,,,,,0.040170,0.010406
SC53,0.046153,0.044386,0.043870,0.048735,0.034550,0.042130,0.051687,0.026422,0.028474,0.031699,0.049779,0.038345,0.038299,0.038547,0.040220,0.007884
SC54,0.052576,0.037810,0.045968,0.037129,0.037170,0.035225,0.035369,0.029728,0.030565,0.028703,0.043756,0.033472,0.038600,0.048184,0.038161,0.007123
SC61,0.059020,0.052738,0.055089,0.051235,0.063031,0.053455,0.046805,0.033129,0.032377,0.041124,0.028638,0.036723,0.038946,0.033049,0.044668,0.011185
SC62,0.033095,0.038575,0.043276,0.034967,0.045248,0.035156,0.030430,0.031894,0.032616,0.050375,0.019110,0.039507,0.043859,0.039976,0.037006,0.007757
SC63,0.061470,0.064156,0.061501,0.048322,0.086184,0.041000,0.049107,0.039095,0.032679,0.047558,0.027146,0.038779,0.051250,0.041802,0.049289,0.015173
SC64,0.041377,0.050164,0.052502,0.038925,0.057409,0.034450,0.036215,0.031239,0.032497,0.036931,0.019543,0.025261,0.029019,0.027002,0.036610,0.010805
SC24,,,,,,,,0.029335,0.026460,0.025101,0.027876,0.029191,0.029098,0.021671,0.026962,0.002820
SC71,,,,,,,,0.053572,0.049650,0.053410,0.059183,0.067477,0.057134,0.054383,0.056401,0.005738
SC72,,,,,,,,0.045545,0.036054,0.043662,0.053503,0.048195,0.061019,0.046017,0.047713,0.007860
SC73,,,,,,,,0.061164,0.042741,0.047466,0.069883,0.060320,0.063402,0.066071,0.058721,0.009925
SC81,,,,,,,,0.057067,0.053064,0.046839,0.043130,0.034617,0.029467,0.036370,0.042936,0.010093
SC82,,,,,,,,0.058207,0.047640,0.047435,0.056211,0.043948,0.039998,0.062870,0.050901,0.008314
SC83,,,,,,,,,0.094148,0.046474,0.049381,0.046527,0.047504,0.038248,0.053714,0.020177
